1:NC_045152.1 Clupea harengus chromosome 1, Ch_v2.0.2, whole genome shotgun sequence
2:NC_045153.1 Clupea harengus chromosome 2, Ch_v2.0.2, whole genome shotgun sequence
3:NC_045154.1 Clupea harengus chromosome 3, Ch_v2.0.2, whole genome shotgun sequence
4:NC_045155.1 Clupea harengus chromosome 4, Ch_v2.0.2, whole genome shotgun sequence
5:NC_045156.1 Clupea harengus chromosome 5, Ch_v2.0.2, whole genome shotgun sequence
6:NC_045157.1 Clupea harengus chromosome 6, Ch_v2.0.2, whole genome shotgun sequence
7:NC_045158.1 Clupea harengus chromosome 7, Ch_v2.0.2, whole genome shotgun sequence
8:NC_045159.1 Clupea harengus chromosome 8, Ch_v2.0.2, whole genome shotgun sequence
9:NC_045160.1 Clupea harengus chromosome 9, Ch_v2.0.2, whole genome shotgun sequence
10:NC_045161.1 Clupea harengus chromosome 10, Ch_v2.0.2, whole genome shotgun sequence
11:NC_045162.1 Clupea harengus chromosome 11, Ch_v2.0.2, whole genome shotgun sequence
12:NC_045163.1 Clupea harengus chromosome 12, Ch_v2.0.2, whole genome shotgun sequence
13:NC_045164.1 Clupea harengus chromosome 13, Ch_v2.0.2, whole genome shotgun sequence
14:NC_045165.1 Clupea harengus chromosome 14, Ch_v2.0.2, whole genome shotgun sequence
15:NC_045166.1 Clupea harengus chromosome 15, Ch_v2.0.2, whole genome shotgun sequence
16:NC_045167.1 Clupea harengus chromosome 16, Ch_v2.0.2, whole genome shotgun sequence
17:NC_045168.1 Clupea harengus chromosome 17, Ch_v2.0.2, whole genome shotgun sequence
18:NC_045169.1 Clupea harengus chromosome 18, Ch_v2.0.2, whole genome shotgun sequence
19:NC_045170.1 Clupea harengus chromosome 19, Ch_v2.0.2, whole genome shotgun sequence
20:NC_045171.1 Clupea harengus chromosome 20, Ch_v2.0.2, whole genome shotgun sequence
21:NC_045172.1 Clupea harengus chromosome 21, Ch_v2.0.2, whole genome shotgun sequence
22:NC_045173.1 Clupea harengus chromosome 22, Ch_v2.0.2, whole genome shotgun sequence
23:NC_045174.1 Clupea harengus chromosome 23, Ch_v2.0.2, whole genome shotgun sequence
24:NC_045175.1 Clupea harengus chromosome 24, Ch_v2.0.2, whole genome shotgun sequence
25:NC_045176.1 Clupea harengus chromosome 25, Ch_v2.0.2, whole genome shotgun sequence
26:NC_045177.1 Clupea harengus chromosome 26, Ch_v2.0.2, whole genome shotgun sequence
